,mcc-name
203,"7379-Computer Maintenance and Repair Services, Not Elsewhere"
204,"7392-Management, Consulting, and Public Relations Services"
205,7393-Protective and Security Services – Including Armored Cars and guard dogs
206,"7394-Equipment Rental and Leasing Services, Tool Rental, Furnituiture rental and appliance rental"
207,"7395-Photofinishing Laboratories, Photo Developing"
208,"7399-Business Services, Not Elsewhere Classified"
209,7512-Car Rental Companies ( Not Listed Below)
210,7513-Truck and Utility Trailer Rentals
211,7519-Motor Home and Recreational Vehicle Rentals
212,7523-Automobile Parking Lots and Garages
213,7531-Automotive Body Repair Shops
214,7534-Tire Re-treading and Repair Shops
215,7535-Paint Shops – Automotive
216,7538-Automotive Service Shops
217,7542-Car Washes
218,7549-Towing Services
219,7622-Radio Repair Shops
220,7623-Air Conditioning and Refrigeration Repair Shops
221,7629-Electrical And Small Appliance Repair Shops
222,"7631-Watch, Clock, and Jewelry Repair"
223,"7641-Furniture, Furniture Repair, and Furniture Refinishing"
224,7692-Welding Repair
225,7699-Repair Shops and Related Services –Miscellaneous
226,7800-State Run online lotteries
227,7829-Motion Pictures and Video Tape Production and Distribution
228,7832-Motion Picture Theaters
229,7841-Video Tape Rental Stores
230,"7911-Dance Halls, Studios and Schools"
231,"7922-Theatrical Producers (Except Motion Pictures), Ticket Agencies"
232,"7929-Bands, Orchestras, and Miscellaneous Entertainers (Not"
233,7932-Billiard and Pool Establishments
234,7933-Bowling Alleys
235,"7941-Commercial Sports, Athletic Fields, Professional Sport Club and sports promoter"
236,7991-Tourist Attractions and Exhibits
237,7992-Golf Courses – Public
238,7993-Video Amusement Game Supplies
239,7994-Video Game Arcades/Establishments
240,"7996-Amusement Parks, Carnivals, Circuses, Fortune Tellers"
241,"7997-Membership Clubs (Sports, Recreation, Athletic), Country Clubs and Private golf courses"
242,"7998-Aquariums, Sea-aquariums, Dolphinariums"
243,7999-Recreation Services (Not Elsewhere Classified)
244,8011-Doctors and Physicians (Not Elsewhere Classified)
245,8021-Dentists and Orthodontists
246,8031-Osteopaths
247,8041-Chiropractors
248,8042-Optometrists and Ophthalmologists
249,"8043-Opticians, Opticians Goods and Eyeglasses"
250,8049-Podiatrists and Chiropodists
